Open,High,Low,Close,Volume
1.21686,1.21743,1.21656,1.2167,2694
1.2167,1.21716,1.21633,1.21655,1782
1.21655,1.21693,1.21612,1.21624,1709
1.21624,1.21652,1.21529,1.21534,2002
1.21537,1.21579,1.21487,1.21497,997
1.21498,1.21565,1.21489,1.21515,428
1.21531,1.21613,1.21512,1.21606,1665
1.21606,1.2162,1.21511,1.21593,1976
1.21594,1.2162,1.21404,1.21491,3101
1.21491,1.21494,1.21413,1.2144,2108
1.21443,1.215,1.21424,1.21484,1372
1.21483,1.21484,1.21387,1.21428,1392
1.21427,1.21551,1.21399,1.21533,1486
1.21533,1.21614,1.21488,1.21609,1916
1.21608,1.21754,1.21555,1.21635,3457
1.21635,1.21672,1.21507,1.21519,3953
1.21519,1.21791,1.21504,1.21619,5018
1.21619,1.21669,1.21443,1.21453,3352
1.21455,1.21583,1.21408,1.21515,2830
1.21516,1.21598,1.21493,1.21553,3702
1.21553,1.21647,1.21403,1.21462,4337
1.21463,1.21589,1.21372,1.21513,5967
1.21512,1.21661,1.21491,1.21559,5122
1.21558,1.21684,1.21548,1.21682,3919
1.21682,1.21776,1.21625,1.21744,3336
1.21744,1.2193,1.21721,1.21872,3023
1.21872,1.22069,1.21866,1.21995,3202
1.21997,1.22081,1.21981,1.22056,2664
1.22056,1.22097,1.22022,1.22062,1302
1.22064,1.22079,1.22008,1.2205,1547
1.2205,1.22091,1.22019,1.22086,1770
1.22086,1.2216,1.22075,1.22078,2121
1.22078,1.22181,1.22049,1.22173,2248
1.22173,1.22191,1.22119,1.22127,1366
1.22126,1.222,1.22125,1.22157,1326
1.22157,1.22157,1.22086,1.22086,1407
1.22087,1.22141,1.22073,1.2209,1619
1.2209,1.22172,1.2208,1.2214,1692
1.22141,1.22229,1.22027,1.22031,2891
1.22031,1.22078,1.21857,1.21912,4507
1.21912,1.21927,1.21823,1.21895,3868
1.21895,1.2192,1.21728,1.21776,3946
1.21777,1.21789,1.21608,1.21629,3384
1.2163,1.21759,1.21627,1.21729,3424
1.21729,1.21786,1.21546,1.21613,4878
1.21613,1.21749,1.21537,1.21639,6076
1.2164,1.21806,1.21573,1.21593,5937
1.21595,1.21656,1.21519,1.21578,4159
1.21579,1.21696,1.21399,1.21653,4140
1.21653,1.21747,1.21606,1.21614,2708
1.21613,1.2163,1.21528,1.2154,2013
1.2154,1.21581,1.21486,1.21545,1811
1.21545,1.21585,1.21536,1.21568,1409
1.21568,1.21638,1.21495,1.21563,923
1.21563,1.21639,1.2155,1.2162,824
1.2162,1.21711,1.21601,1.21645,2381
1.21644,1.2172,1.21638,1.2166,2319
1.21661,1.21691,1.21358,1.21524,4681
1.21523,1.21542,1.21389,1.21454,3123
1.21454,1.21505,1.21432,1.21497,1929
1.21496,1.21553,1.21452,1.21552,2823
1.21552,1.21552,1.21496,1.21498,2020
1.21498,1.21506,1.21362,1.21431,3614
1.21431,1.21626,1.2141,1.21584,4774
1.21584,1.21675,1.21493,1.21663,3721
1.21662,1.21672,1.21567,1.21655,2757
1.21655,1.21661,1.21483,1.21516,3133
1.21516,1.21558,1.21247,1.21296,3819
